unit_id,domain_id,indicator,weight
222300447,W06000002,NA,NA
222300448,W06000002,NA,NA
222300449,W06000002,NA,NA
222300450,W06000002,NA,NA
222300451,W06000002,NA,NA
222300452,W06000002,0,589.6395987654629
222300453,W06000002,NA,NA
222300454,W06000002,NA,NA
222300455,W06000002,0,689.7164101323525
222300456,W06000002,NA,NA
222300457,W06000002,NA,NA
222300458,W06000002,0,1575.4372298253843
222300459,W06000002,NA,NA
222300460,W06000002,NA,NA
222300461,W06000002,NA,NA
222300462,W06000002,NA,NA
222300463,W06000002,0,1007.8663768083582
222300464,W06000002,0,602.7188167363471
222300465,W06000002,NA,NA
222300466,W06000002,NA,NA
222300467,W06000002,NA,NA
222300468,W06000002,NA,NA
222300469,W06000002,NA,NA
222300470,W06000002,NA,NA
222300471,W06000002,NA,NA
222300472,W06000002,NA,NA
222300473,W06000002,NA,NA
222300474,W06000002,NA,NA
222300475,W06000002,NA,NA
222300476,W06000002,NA,NA
222300477,W06000002,NA,NA
222300478,W06000002,NA,NA
222300479,W06000002,NA,NA
222300480,W06000002,NA,NA
222300481,W06000002,NA,NA
222300482,W06000002,NA,NA
222300483,W06000002,NA,NA
222300484,W06000002,NA,NA
222300485,W06000002,NA,NA
222300486,W06000002,0,566.455762268849
222300487,W06000002,NA,NA
222300488,W06000002,NA,NA
222300489,W06000002,NA,NA
222300490,W06000002,NA,NA
222300491,W06000002,NA,NA
222300492,W06000002,NA,NA
222300493,W06000002,NA,NA
222300494,W06000002,0,1019.6203720839284
222300495,W06000002,0,2317.719302559986
222300496,W06000002,1,1814.15947825504
222300497,W06000002,NA,NA
222300498,W06000002,1,937.5281948830944
222300499,W06000002,NA,NA
222300500,W06000002,NA,NA
222300501,W06000002,NA,NA
222300502,W06000002,NA,NA
222300503,W06000002,NA,NA
222300504,W06000002,NA,NA
222300505,W06000002,NA,NA
222300506,W06000002,NA,NA
222300507,W06000002,NA,NA
222300508,W06000002,NA,NA
222300509,W06000002,NA,NA
222300510,W06000002,1,1102.974346921287
222300511,W06000002,NA,NA
222300512,W06000002,NA,NA
222300513,W06000002,NA,NA
222300514,W06000002,NA,NA
222300515,W06000002,NA,NA
222300516,W06000002,0,940.4532571825683
222300517,W06000002,NA,NA
222300518,W06000002,NA,NA
222300519,W06000002,NA,NA
222300520,W06000002,NA,NA
222300521,W06000002,NA,NA
222300522,W06000002,NA,NA
222300523,W06000002,NA,NA
222300524,W06000002,NA,NA
222300525,W06000002,NA,NA
222300526,W06000002,NA,NA
222300527,W06000002,NA,NA
222300528,W06000002,NA,NA
222300529,W06000002,NA,NA
222300530,W06000002,NA,NA
222300531,W06000002,NA,NA
222300532,W06000002,NA,NA
222300533,W06000002,NA,NA
222300534,W06000002,NA,NA
222300535,W06000002,1,1132.911524537698
222300536,W06000002,NA,NA
222300537,W06000002,NA,NA
222300538,W06000002,NA,NA
222300539,W06000002,NA,NA
222300540,W06000002,NA,NA
222300541,W06000002,1,566.455762268849
222300542,W06000002,NA,NA
222300543,W06000002,NA,NA
222300544,W06000002,NA,NA
222300545,W06000002,NA,NA
222300546,W06000002,1,1862.682856430193
222300547,W06000002,NA,NA
222300548,W06000002,NA,NA
222300549,W06000002,NA,NA
222300550,W06000002,0,559.8198290314625
222300551,W06000002,NA,NA
222300552,W06000002,NA,NA
222300553,W06000002,NA,NA
222300554,W06000002,NA,NA
222300555,W06000002,NA,NA
222300556,W06000002,NA,NA
222300557,W06000002,NA,NA
222300558,W06000002,NA,NA
222300559,W06000002,NA,NA
222300560,W06000002,NA,NA
222300561,W06000002,NA,NA
222300562,W06000002,NA,NA
222300563,W06000002,NA,NA
222300564,W06000002,NA,NA
222300565,W06000002,NA,NA
222300566,W06000002,NA,804.8566978725852
222300567,W06000002,NA,NA
222300568,W06000002,NA,NA
222300569,W06000002,NA,NA
222300570,W06000002,0,724.7292892452133
222300571,W06000002,NA,NA
222300572,W06000002,NA,NA
222300573,W06000002,NA,NA
222300574,W06000002,1,1440.269880403575
222300575,W06000002,NA,NA
222300576,W06000002,NA,NA
222300577,W06000002,NA,NA
222300578,W06000002,NA,NA
222300579,W06000002,NA,NA
222300580,W06000002,NA,NA
222300581,W06000002,NA,NA
222300582,W06000002,NA,NA
222300583,W06000002,NA,NA
222300584,W06000002,NA,NA
222300585,W06000002,NA,NA
222300586,W06000002,NA,NA
222300587,W06000002,NA,NA
222300588,W06000002,NA,NA
222300589,W06000002,NA,NA
222300590,W06000002,NA,NA
222300591,W06000002,NA,NA
222300592,W06000002,NA,NA
222300593,W06000002,NA,NA
222300594,W06000002,NA,NA
222300595,W06000002,NA,NA
222300596,W06000002,NA,NA
222300597,W06000002,0,1283.737838823744
222300598,W06000002,NA,NA
222300599,W06000002,NA,NA
222300600,W06000002,NA,NA
222300601,W06000002,NA,NA
222300602,W06000002,NA,NA
222300603,W06000002,NA,NA
222300604,W06000002,NA,NA
222300605,W06000002,NA,NA
222300606,W06000002,NA,NA
222300607,W06000002,NA,NA
222300608,W06000002,NA,NA
222300609,W06000002,0,589.6395987654629
222300610,W06000002,NA,NA
222300611,W06000002,NA,NA
222300612,W06000002,NA,NA
222300613,W06000002,NA,NA
222300614,W06000002,NA,NA
222300615,W06000002,NA,NA
222300616,W06000002,NA,NA
222300617,W06000002,0,1914.7158371538824
222300618,W06000002,NA,NA
222300619,W06000002,NA,NA
222300620,W06000002,NA,NA
222300621,W06000002,NA,NA
222300622,W06000002,0,1061.3512777778326
222300623,W06000002,NA,NA
222300624,W06000002,NA,NA
222300625,W06000002,NA,NA
222300626,W06000002,1,1117.2118713450882
222300627,W06000002,NA,NA
222300628,W06000002,NA,NA
222300629,W06000002,NA,NA
222300630,W06000002,NA,NA
222300631,W06000002,NA,NA
222300632,W06000002,NA,NA
222300633,W06000002,0,566.455762268849
222300634,W06000002,1,1426.3753764708306
222300635,W06000002,NA,NA
222300636,W06000002,0,724.7292892452133
222300637,W06000002,NA,NA
222300638,W06000002,NA,NA
222300639,W06000002,NA,NA
222300640,W06000002,NA,NA
222300641,W06000002,NA,NA
222300642,W06000002,0,549.8537420713873
222300643,W06000002,NA,NA
222300644,W06000002,1,940.4532571825683
222300645,W06000002,NA,NA
222300646,W06000002,NA,NA
222300647,W06000002,NA,NA
222300648,W06000002,NA,NA
222300649,W06000002,1,1233.8262082196106
222300650,W06000002,NA,NA
222300651,W06000002,NA,NA
222300652,W06000002,NA,NA
222300653,W06000002,0,684.4665509538137
222300654,W06000002,NA,NA
222300655,W06000002,NA,NA
222300656,W06000002,1,1426.3753764708306
222300657,W06000002,1,589.6395987654629
222300658,W06000002,NA,NA
222300659,W06000002,NA,NA
222300660,W06000002,NA,NA
222300661,W06000002,0,599.7766894611335
222300662,W06000002,NA,NA
222300663,W06000002,0,1185.5008144195667
222300664,W06000002,NA,NA
222300665,W06000002,0,1099.7074841427745
222300666,W06000002,NA,NA
222300667,W06000002,NA,NA
222300668,W06000002,1,1119.6396580629262
222300669,W06000002,1,1067.1526342676727
222300670,W06000002,NA,NA
222300671,W06000002,NA,NA
