domain_id,domain_size
W02000208,12718
W02000210,6180
W02000211,7827
W02000212,7743
W02000213,6745
W02000214,9657
W02000215,9459
W02000216,7188
W02000217,6394
W02000417,10187
W02000427,11138
W02000218,6667
W02000219,7187
W02000220,7992
W02000221,7685
W02000222,6170
W02000223,6005
W02000224,6501
W02000225,8889
W02000226,10023
W02000227,7416
W02000228,12159
W02000229,6118
W02000230,5677
W02000231,8327
W02000232,5748
W02000233,6208
W02000234,10637
W02000235,9170
W02000236,6959
W02000237,6127
W02000238,6550
W02000239,8008
W02000240,8991
W02000241,10169
W02000242,8215
W02000243,9358
W02000244,10166
W02000245,8281
W02000246,5310
W02000247,8679
W02000248,10647
W02000249,8762
W02000250,11626
W02000251,11037
W02000367,6095
W02000368,5700
W02000369,9793
W02000370,6542
W02000371,9102
W02000372,8285
W02000373,6995
W02000374,5897
W02000375,7317
W02000376,6656
W02000377,7785
W02000378,7488
W02000379,6466
W02000380,7899
W02000381,6524
W02000382,5969
W02000383,7493
W02000384,5703
W02000385,6890
W02000386,7588
W02000387,5898
W02000388,5805
W02000389,8436
W02000390,6236
W02000391,9422
W02000392,8775
W02000393,6647
W02000394,9565
W02000395,6664
W02000396,7528
W02000397,6440
W02000398,12263
W02000399,10766
W02000400,6289
W02000401,5941
W02000402,11603
W02000403,7787
W02000404,6345
W02000405,7818
W02000406,10195
W02000407,6647
W02000408,7460
W02000409,6076
W02000410,8642
W02000411,6596
W02000412,6878
W02000422,7388
W02000423,10027
W02000252,9184
W02000253,6768
W02000254,7944
W02000255,6912
W02000256,10003
W02000257,7253
W02000258,5691
W02000259,5748
W02000260,5686
W02000261,7646
W02000262,5297
W02000263,6381
W02000264,5727
W02000265,9194
W02000266,7495
W02000267,6333
W02000268,8910
W02000269,8195
W02000270,6588
W02000271,5460
W02000272,9923
W02000273,10422
W02000274,10179
W02000275,6057
W02000276,6511
W02000277,6946
W02000278,8939
W02000279,7743
W02000280,9581
W02000281,7459
W02000282,11463
W02000290,8539
W02000291,7089
W02000292,5815
W02000293,6043
W02000294,5601
W02000295,9509
W02000296,7395
W02000297,7488
W02000298,7147
W02000299,6241
W02000300,8379
W02000301,7932
W02000302,9951
W02000303,7112
W02000304,5493
W02000305,6152
W02000306,5096
W02000307,6505
W02000308,8780
W02000309,6770
W02000310,5285
W02000311,9773
W02000312,7227
W02000313,10630
W02000314,6616
W02000315,5248
W02000316,6663
W02000317,7788
W02000318,9102
W02000319,8072
W02000320,8131
W02000321,8618
W02000322,6668
W02000323,6023
W02000324,7042
W02000325,7349
W02000326,8867
W02000327,5894
W02000328,7474
W02000329,8052
W02000330,7080
W02000331,6472
W02000332,7644
W02000333,6242
W02000334,6588
W02000335,7536
W02000336,8485
W02000337,7638
W02000338,8528
W02000339,11044
W02000340,7130
W02000341,8310
W02000342,9361
W02000343,8178
W02000344,8506
W02000345,8029
W02000346,7746
W02000347,7970
W02000348,7605
W02000349,8294
W02000350,9940
W02000351,6275
W02000352,6796
W02000353,7220
W02000354,5797
W02000355,10237
W02000356,5270
W02000357,8273
W02000358,6490
W02000359,11804
W02000360,6781
W02000361,11770
W02000362,6985
W02000363,5776
W02000364,9288
W02000365,8588
W02000366,8433
W02000097,9308
W02000098,6265
W02000099,6633
W02000100,6205
W02000101,5533
W02000102,6147
W02000103,5795
W02000104,6193
W02000105,5162
W02000106,6492
W02000107,9770
W02000108,7220
W02000109,5605
W02000110,6843
W02000111,8456
W02000113,8242
W02000114,6938
W02000414,5983
W02000416,10343
W02000284,9356
W02000285,8333
W02000286,6730
W02000287,8290
W02000288,8072
W02000289,8680
W02000415,9356
