domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000011,8.137024488976378,8.058897869215208,2.8131029270971775,13.30469281133324,10.491589884236063,8.05738135562266,4.31917283516975,11.798195847155888,7.479023011986138,8.254401785157711,3.9241599790376753,12.662416351070103,8.738256372032428
W02000012,10.171267009022241,8.374074332236349,2.1390439094200104,14.609104755052687,12.470060845632677,9.002027686358478,4.457272872440377,12.907623729366701,8.450350856926324,8.704084892690512,4.54944636496198,12.263391037991344,7.7139446730293635
W02000013,9.367973774160733,5.3002675790893665,1.7980314084585327,8.8025037497202,7.004472341261668,6.283310806752774,3.3793409676718813,9.461606014847138,6.082265047175257,6.279503177208895,3.186720937827923,9.020161308981997,5.833440371154074
W02000014,9.24027012922211,26.923374612181593,10.129702797982056,43.71704642638113,33.587343628399076,11.032875660402487,4.769469522831489,16.30721570499162,11.53774618216013,9.855069627472359,4.502905489849965,14.993393069882448,10.490487580032482
W02000015,8.052978097960816,9.919678990643295,2.5245945749047687,17.31476340638182,14.790168831477054,9.228082259829778,4.329435356870855,13.787723250117466,9.458287893246611,8.425916466821462,3.4295764841973195,13.084433037649118,9.654856553451799
W02000016,9.571522592891762,41.4647784329225,-9.889198641377213,92.81875550722222,102.70795414859944,9.621080412417598,3.909580615296706,15.448433936475448,11.538853321178742,8.597017741778501,4.100444830580107,13.515870416240068,9.41542558565996
W02000017,10.743092305924172,7.977358245950098,3.6073000732552725,12.347416418644924,8.740116345389652,8.694085681115862,5.180199125497085,12.347879855381663,7.167680729884578,8.21640828756941,4.598787834574846,11.79890211403378,7.2001142794589335
W02000018,10.810546485078994,13.18638933688711,5.4860989576500865,20.886679716124135,15.40058075847405,11.033440674474946,6.799083607038086,15.163830792663338,8.364747185625252,9.816134814559183,5.397351010087807,14.272448438936975,8.875097428849168
W02000019,9.494834567816092,5.433258835193519,2.252949201656674,8.613568468730364,6.360619267073689,6.343349496547588,3.57289685869274,8.896843058752923,5.323946200060183,6.508724687734104,4.018510138930418,8.960869196818724,4.942359057888305
W02000020,11.19331815295481,4.617937751514997,0.743099112357489,8.492776390672505,7.749677278315016,6.185967221730598,3.2892007100917144,9.261185906121176,5.971985196029461,6.05382101582642,2.8204549138458823,9.343526814002882,6.5230719001569994
W02000021,10.104186138126774,8.59705973384213,3.6125766625616658,13.581542805122595,9.96896614256093,9.024119264543039,5.810374303194699,12.225722981598224,6.415348678403525,8.567154739938918,4.324720173354136,12.319206554617756,7.99448638126362
W02000022,10.869966849466463,7.558943632429728,1.0122577893749254,14.10562947548453,13.093371686109606,8.735355119547194,4.3951282783299614,13.099752771059,8.704624492729039,8.31216925593646,4.458221054367566,11.637727847426394,7.179506793058827
W02000023,14.881647913480885,13.04109979759831,4.596929483365596,21.485270111831024,16.88834062846543,10.451814487549221,5.923050972865398,14.83913124829851,8.916080275433114,10.342280157285458,5.324876896325382,16.144879469268766,10.820002572943384
W02000024,13.916643560863411,10.024273865116195,1.02296572824606,19.02558200198633,18.00261627374027,9.821560502467207,5.070069944631337,14.335375067308266,9.26530512267693,9.278568282200423,4.585793894950905,13.626438201209247,9.040644306258342
