domain_id,cov_pop_density,cov_share_work_home,cov_share_hh_withcar,cov_share_detached,cov_share_higher_managerial
W02000029,-0.4245589906597211,-0.3425632433134114,1.039885290138336,0.9767295957818364,0.4009011571118298
W02000030,0.6818163658793696,-0.0981995642644442,-0.25900882167570605,-0.006342122997767501,0.43867253618880053
W02000031,-0.37150212096198576,-1.1640371849969804,0.4718959152357822,1.597781631787828,-0.8251523561446008
W02000032,0.06793061323313285,-0.18683735379677924,0.7526760735638839,0.8326802334884412,0.4678569371523658
W02000033,1.0244266593916354,-0.7387592220545288,-1.4290660525072314,-0.8998364210231327,-0.44412717489311015
W02000034,-0.28732193918318666,0.24583107321286138,0.31627592009869954,0.57074562603964,0.5789251534753249
W02000035,-0.4085149994401188,-0.5037678476395984,0.2704712467678369,0.11209605224655383,-0.34533141311701926
W02000036,-0.427148368989467,-0.7487991678117196,-0.002630326977481958,0.9558041765833288,-0.18520480885710702
W02000037,-0.6117050401390055,-0.7569801797951546,0.49876703935263367,-0.1352064315618994,-0.2504967789758749
W02000038,-0.7310703039278819,0.4470726044178264,0.557476947741578,0.31995497847576954,0.4174385882736624
W02000039,-0.6495302726029412,0.2918233463739404,0.1277261397762247,-0.12388007312537787,0.08895982620440224
W02000040,-0.7623967045053963,1.0184153164953555,1.4712325305116931,1.9843968679940722,0.12603023579466652
W02000041,-0.7598073261756504,0.30684327146629475,0.6967610049956033,0.7495074310697455,-0.13294313687581857
W02000042,0.8273800457103813,-0.9408791721150844,-0.06406126545222808,1.0703223958962782,-0.699601089054132
W02000043,-0.3585552293132561,-0.5765695566467991,-0.5694418835690193,0.41403767693499655,-0.2676942793582389
W02000044,0.5056878673325335,-0.8522237159867441,0.3828532005535078,1.172779382343192,-0.23197022449577914
W02000045,0.9511117121729467,-1.3183840095412762,-2.1408160945175148,-0.438001722844569,-1.1185903535457042
W02000047,0.7658950034099433,-1.8103505299650202,-1.8835482715628276,-1.033513256369388,-1.4013556678689423
W02000049,-0.7071566334708164,-0.09407530896139855,0.8894221737621053,1.064369737686555,0.3006781902700555
W02000050,-0.6628325691204595,-0.9399009831194044,0.6909741331930471,1.0836951128517336,0.13593990931430822
W02000051,-0.685375392226483,0.15294918895484233,0.6916049766411583,1.271520197528969,0.4067543696805821
W02000052,-0.6329785601422123,-0.9687254086346658,-0.9203467657424362,-0.2158529226874716,-0.6736133055175547
W02000053,-0.7442202840730621,-0.06721469861623663,1.0300873738594076,1.4118046394190387,0.16737717029271765
W02000054,-0.7500590783460186,1.1945124263675397,1.4615327622519159,1.8522995866643088,1.1578533550209882
W02000055,-0.41552155256766665,-0.48721022120326035,0.3857779271923158,0.5705513456964868,-0.0665507595937236
W02000056,-0.7551362907572852,0.6326611367362212,1.1759083125131047,1.5430735207714354,0.48619283919223283
W02000057,-0.7542731646473699,0.16632129408489352,0.41626031178424644,0.6402727740255656,0.2909687483549517
W02000419,1.35368388426227,-1.0956785952414787,0.13015644444143287,1.207451142683547,-0.6332918231072238
W02000058,-0.6893356179072708,-0.6017222228943305,0.892754542342672,0.8388204815560927,-0.18546942318891918
W02000059,-0.6765410426308792,-0.3124245681396496,0.7485329755795221,1.0461916209461621,0.15137544214771434
W02000060,-0.43481495973047946,-1.3722166879274051,-0.30024995800673226,-0.3177037123732937,-0.9499537153512919
W02000061,-0.438978273907718,-1.2960303349152542,-1.0558080592878427,-0.5434119683085441,-0.9248248367269812
W02000062,-0.42562520526608705,-0.7123366961489817,1.048149695668103,0.6486195842161125,-0.37946423960048925
W02000063,-0.7336596822576277,0.725669071169819,1.4413322927393322,1.76825169256554,0.9280963998695961
W02000064,-0.4743156722901331,-1.5081145437691634,-0.6273468367348176,-0.5424946472768071,-1.0652483564775939
W02000065,-0.22431373315936887,-0.7814848608941042,0.8744508737948286,0.11258852261539283,-0.4932944274726992
W02000066,-0.5458535951648786,-1.257422644614835,-0.7451670199709697,-0.6989306819390518,-0.8490822080774026
W02000067,-0.34159733985962587,0.10049254914279512,1.4053293204746389,1.9886177363045068,0.5448916088994429
W02000068,-0.4614703248896288,-0.9663689436899545,0.09363795037961319,-0.6109377542707455,-0.5157910406471302
W02000069,-0.556261880607975,0.5256851961616963,1.2834198435722668,1.277320705064485,0.9781010698312724
W02000070,-0.28737271130729924,0.5923309173941217,1.229320688754223,1.585912809311964,1.1948730086712192
W02000071,-0.23132028628691678,-0.26272037615164623,1.1698650564288415,0.9790324824272971,0.262041647237805
W02000072,-0.39678663877009307,-0.3439063781946535,0.5295869517557475,-0.26254860291768317,0.06519059827567418
W02000073,0.037975060006660295,-0.17639370715263883,0.021224621345180945,0.38326381919245006,0.2665527463948684
W02000074,0.11855042097346023,-0.5061291676178902,0.318295583619412,0.24284105621531255,-0.2563201682507471
W02000075,-0.5858620289656589,0.8369544532902847,1.4772989574071205,1.5704440764994905,1.4617630051795476
W02000076,-0.697662246261748,0.19345299667743518,1.1703364031223784,1.2233989861814598,0.694434745664902
W02000077,-0.6777595736095832,-0.15149815084566623,0.9607512140231853,0.9075042496954617,0.7620246389852687
W02000080,-0.17567403825943548,-1.058571871927593,0.3599243146027248,-0.3891939001491796,-0.6332702072591812
W02000081,0.007207152794385139,-0.9360977137098724,0.11304246895838481,0.05452827233816961,-0.5672824005176944
W02000082,0.060010161871557104,-1.0775394064192523,0.19482709630399248,-0.13465428771731214,-0.6364797130153858
W02000083,-0.41298294636203337,-0.930918603886998,0.3562076383641324,-0.15076064897759028,-0.42504955198416444
W02000085,0.890845200851213,-0.906085322728582,-0.12066896625106083,0.08211247922070641,-0.05003743929640556
W02000087,1.7136582442210673,-2.0473909652295594,-2.503187987680926,-1.1102328228595684,-1.5446148009679166
W02000088,0.2878754548891991,-1.1434829760207017,-0.8996315743398209,-0.30950112251730805,-0.028803305523384618
W02000089,1.308801326546674,-1.7419962124308315,-1.5171074942563318,-0.7833707065507004,-1.0661610336874026
W02000090,-0.6846645824889056,-0.8942004446045726,0.5563965485437077,0.47627261380774993,-0.16865121329978047
W02000091,-0.35865677356148146,-1.105250999906572,0.590778968224419,0.32011924665666186,-0.5164117377967689
W02000092,-0.5421980022287667,-1.3663013787013125,-0.5825522210641649,-0.22245581838447018,-0.9344172909024232
W02000093,-0.7148739963359415,-0.24420640946549985,0.6027954088965273,0.6186022851359525,0.2089536562854909
W02000094,-0.43161631591138155,-1.1829538705757727,-0.53224537158172,-0.36123641720962096,-0.7862818393012535
W02000095,-0.7425448039773441,0.9793492072119354,1.389733483235529,1.7669753034919746,0.6347987593550468
W02000096,-0.7448295495624141,-0.6238126194658894,0.6973683723606725,0.40196065052286445,-0.18771767377509604
W02000424,-0.5495091881009905,0.37129696718550764,1.129109178598641,1.5118097543190725,1.2009147355594056
W02000425,-0.7031456356659158,1.016543019320327,1.2394747875269643,1.4145199330681058,0.9009165298401152
W02000426,0.9526856480204392,-0.9553690699778364,0.3154375193489058,0.3157588559336916,-0.16003451880136652
W02000116,-0.7502113947183566,0.9051053050400601,0.8490549593630792,1.1153040532460932,0.6017765534562214
W02000117,0.017310805492805476,0.5617638813675985,-2.521037913633522,-0.8653902161771999,-0.5078603556866085
W02000118,-0.1945104963052344,-0.08854624252134376,-0.5107389873231846,-0.5860497748688817,-0.04431920753162008
W02000120,-0.7473173836439347,0.8704741432872452,0.7897678003674303,1.606102951667405,0.11699205767615539
W02000122,-0.75046525533892,1.5347523070447144,1.1063607211307747,2.1331515460651196,0.22937209169367698
W02000123,-0.7524453681793138,0.45403323951294605,0.7687169361858128,1.4656232185725064,-0.34404988209670134
W02000124,-0.7122338458820829,0.15824751909876336,0.015571265302499625,0.8543673715718761,-0.25388512094457616
W02000125,-0.7485359146226386,0.809213055922053,1.238706136884577,1.8651349979727117,-0.0527065938170978
W02000421,-0.7619397553883823,1.1210705171154294,1.1903139717788729,1.9144038448130538,0.45629870231279923
W02000126,-0.7549332022608345,0.9702652010864564,1.2888205845754157,1.9668931707851554,-0.17391070209024784
W02000127,-0.7447280053141887,0.355086390315183,0.5844472864598061,0.7129574369404321,-0.2593784267749296
W02000128,-0.7518361026899618,0.8836924430595864,1.0630388787396718,1.09358207099774,0.10433932411299342
W02000129,-0.7536131270339052,0.650222187952331,1.4310805163113542,2.152125481840804,0.1861255432003192
W02000130,0.07676496282873667,-1.1345131156914154,-1.288650712829539,-0.5686189340049738,-0.7460210413142284
W02000131,-0.40064532020265564,-1.2514989029161032,0.1964397069695583,0.11208044389606601,-0.6626586857220884
W02000132,-0.7467081181545827,0.5436812133890839,1.0280169390454919,1.3729613623133667,-0.007223909123344351
W02000133,-0.7467588902786954,0.40272107961506193,1.2572741772314868,1.3130691413685964,8.811942431316245e-4
W02000134,-0.6806535846840052,-0.7529959362689677,1.0799375182837503,1.0747014961956889,-0.11795181674409515
W02000135,-0.3585552293132561,-1.3908163750493545,-0.4446663507196186,-0.12213344035653424,-0.9189896294251635
W02000136,-0.7102029609175763,0.033047685811126104,0.9628493817820882,1.6442743471105237,-0.08439726574657572
W02000137,-0.16876902938011304,-1.520879352047356,-0.34918348727593573,-0.47848509087613006,-1.1027841561059055
W02000138,0.008679544393652365,-1.4555417279971519,-0.3174726083308278,-0.5760091253868131,-1.0999403857466707
W02000139,-0.7198496644989827,0.1603261825266629,1.2028259258299332,1.7534322360977965,0.06697462527637682
W02000140,-0.7325934676512618,-0.5422649230672263,0.05200977875455616,-0.011198577531271214,-0.7102625067154942
W02000141,-0.6599893301701503,-0.20280207525129407,-0.4901398582222464,0.23603653475075326,-0.13881769060658297
W02000142,-0.7519376469381872,-0.1477068493182808,0.9042368427967986,1.4678475059150589,-0.5677492723873406
W02000143,-0.762599793001847,1.3488088058440677,1.0494733730405394,1.6431358797372668,-0.17919498616347826
W02000144,-0.752902317296328,1.1007886204046504,1.110806547533615,1.9304198282131932,-0.07419363312035553
W02000145,-0.7583349345763831,1.3314002654528119,0.9420576415183215,1.499223542181222,0.4657655450828273
W02000146,-0.7568625429771157,1.2723458024180088,1.4755547802736222,2.4228915948320027,0.5387371326445979
W02000147,-0.736045972090923,-0.20825380793298456,0.5545289187360865,0.893520964907895,-0.016841519401445983
W02000148,-0.29107907636752384,-0.9970975879245388,-0.5509786562667113,-0.12935939987158224,-0.11976331305280034
W02000149,-0.6594308368049109,-0.24516585448599748,-0.8977109657704915,0.4348465867098307,-0.13050079896707648
W02000151,-0.7063442794850138,-0.5513013736494649,0.2918353796042325,0.18997162090359812,-0.78160696568158206
W02000152,-0.6423714031030554,-0.5967921098222269,0.630979092073472,0.9737040175833083,-0.16816872313774053
W02000153,-0.7391938437859082,0.33255949683143465,1.205304416512594,1.5957194795837275,0.21838396246935227
W02000154,-0.49076584050263666,-0.5253827193475877,0.004515665818422782,0.22338053404301586,-0.5907549483814646
W02000156,-0.6757794607691892,-0.5799407587590488,0.9849453755063686,0.5713731742538476,-0.4048409813962356
W02000157,-0.6731900824394433,-0.19366014004892987,1.043501428311383,0.8126816405602835,-0.1291809489828022
W02000158,-0.6557752438687992,-0.21625697253656165,1.1190298170945763,0.7419314901224197,0.12227411786010293
